FinalCustomerName,Segment,BU,DU,Month,Revenue
A154,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Apr,0.0
A154,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,-146.70463865000002
A154,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,May,0.0
A155,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Apr,11951.44309867
A155,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Jun,982.38073786
A155,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,May,19905.15026105
A156,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Apr,24987.322336
A156,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Jun,53358.073724
A156,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,May,24434.793096
A157,Transportation,DIGITAL MANUFACTURING SERVICES,MECHANICAL SERVICES,Jun,24863.79954914
A16,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Apr,316889.74676793
A16,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Jun,316480.07071276003
A16,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,May,321045.55481944
A16,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,EMBEDDED HW & SW ENGINEERING,Apr,100865.93535315999
A16,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,EMBEDDED HW & SW ENGINEERING,Jun,100719.22258907999
A16,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,EMBEDDED HW & SW ENGINEERING,May,103001.66400151
A16,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Apr,23637.08713118
A16,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Jun,21817.19394693
A16,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,May,24660.04626646
A161,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,May,0.0
A161,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,May,0.0
A162,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Apr,0.0
A162,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,Jun,0.0
A162,Transportation,AEROSPACE & RAIL,AEROSPACE & RAIL,May,0.0
A162,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Apr,0.0
A162,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,Jun,0.0
A162,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,V&V - TRANSPORTATION,May,0.0
A163,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,EMBEDDED HW & SW ENGINEERING,Apr,0.0
A163,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,EMBEDDED HW & SW ENGINEERING,Jun,0.0
A163,Transportation,EMBEDDED ENGINEERING AND V&V GROUP,EMBEDDED HW & SW ENGINEERING,May,0.0
A17,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Apr,43624.40174039
A17,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Jun,53597.050745730005
A17,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,May,49871.80922992
A17,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Apr,31094.379273140003
A17,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,Jun,39036.45081976
A17,Media & Technology,EMBEDDED ENGINEERING AND V&V GROUP,V&V - M&T AND IP,May,36495.96200139
A18,Media & Technology,DIGITAL PRODUCTS & SERVICES,DIGITAL COMMS. & TECH,Apr,66041.51243508
